time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2023/1/1 0:00,2023/1/1 2:00,0,0,0,1.265
2023/1/1 1:00,2023/1/1 3:00,0,0,0,1.033
2023/1/1 2:00,2023/1/1 4:00,0,0,0,0.756
2023/1/1 3:00,2023/1/1 5:00,0,0,0,0.424
2023/1/1 4:00,2023/1/1 6:00,0,0,0,0.033
2023/1/1 5:00,2023/1/1 7:00,0,0,0,-0.327
2023/1/1 6:00,2023/1/1 8:00,0,0,0,-0.775
2023/1/1 7:00,2023/1/1 9:00,0,0.001,0.001,-1.266
2023/1/1 8:00,2023/1/1 10:00,335.782,0.035,0.023,-1.881
2023/1/1 9:00,2023/1/1 11:00,674.808,0.06,0.041,-2.306
2023/1/1 10:00,2023/1/1 12:00,547.425,0.043,0.042,-2.145
2023/1/1 11:00,2023/1/1 13:00,482.517,0.042,0.034,-2.253
2023/1/1 12:00,2023/1/1 14:00,96.286,0.013,0.011,-2.861
2023/1/1 13:00,2023/1/1 15:00,0,0,0,-3.438
2023/1/1 14:00,2023/1/1 16:00,0,0,0,-3.658
2023/1/1 15:00,2023/1/1 17:00,0,0,0,-3.818
2023/1/1 16:00,2023/1/1 18:00,0,0,0,-4.202
2023/1/1 17:00,2023/1/1 19:00,0,0,0,-4.46
2023/1/1 18:00,2023/1/1 20:00,0,0,0,-4.665
2023/1/1 19:00,2023/1/1 21:00,0,0,0,-4.844
2023/1/1 20:00,2023/1/1 22:00,0,0,0,-5.002
2023/1/1 21:00,2023/1/1 23:00,0,0,0,-5.151
2023/1/1 22:00,2023/1/2 0:00,0,0,0,-5.335
2023/1/1 23:00,2023/1/2 1:00,0,0,0,-5.342
2023/1/2 0:00,2023/1/2 2:00,0,0,0,-5.255
2023/1/2 1:00,2023/1/2 3:00,0,0,0,-5.175
2023/1/2 2:00,2023/1/2 4:00,0,0,0,-5.144
2023/1/2 3:00,2023/1/2 5:00,0,0,0,-5.206
2023/1/2 4:00,2023/1/2 6:00,0,0,0,-5.401
2023/1/2 5:00,2023/1/2 7:00,0,0,0,-5.418
2023/1/2 6:00,2023/1/2 8:00,0,0,0,-5.453
2023/1/2 7:00,2023/1/2 9:00,0,0.001,0.001,-5.683
2023/1/2 8:00,2023/1/2 10:00,165.476,0.015,0.019,-5.593
2023/1/2 9:00,2023/1/2 11:00,583.591,0.048,0.04,-5.18
2023/1/2 10:00,2023/1/2 12:00,821.034,0.072,0.046,-4.943
2023/1/2 11:00,2023/1/2 13:00,604.639,0.055,0.036,-5.091
2023/1/2 12:00,2023/1/2 14:00,82.847,0.01,0.011,-5.638
2023/1/2 13:00,2023/1/2 15:00,0,0,0,-6.135
2023/1/2 14:00,2023/1/2 16:00,0,0,0,-6.271
2023/1/2 15:00,2023/1/2 17:00,0,0,0,-6.18
2023/1/2 16:00,2023/1/2 18:00,0,0,0,-5.94
2023/1/2 17:00,2023/1/2 19:00,0,0,0,-5.564
2023/1/2 18:00,2023/1/2 20:00,0,0,0,-5.275
2023/1/2 19:00,2023/1/2 21:00,0,0,0,-5.035
2023/1/2 20:00,2023/1/2 22:00,0,0,0,-4.866
2023/1/2 21:00,2023/1/2 23:00,0,0,0,-4.735
2023/1/2 22:00,2023/1/3 0:00,0,0,0,-4.667
2023/1/2 23:00,2023/1/3 1:00,0,0,0,-4.679
2023/1/3 0:00,2023/1/3 2:00,0,0,0,-4.753
