time,local_time,electricity,wind_speed
2023/1/1 0:00,2023/1/1 2:00,3201.815,9.235
2023/1/1 1:00,2023/1/1 3:00,2811.771,8.634
2023/1/1 2:00,2023/1/1 4:00,2590.957,8.299
2023/1/1 3:00,2023/1/1 5:00,2317.705,7.905
2023/1/1 4:00,2023/1/1 6:00,2072.933,7.553
2023/1/1 5:00,2023/1/1 7:00,1991.981,7.432
2023/1/1 6:00,2023/1/1 8:00,1867.854,7.244
2023/1/1 7:00,2023/1/1 9:00,2063.728,7.537
2023/1/1 8:00,2023/1/1 10:00,1714.502,7.009
2023/1/1 9:00,2023/1/1 11:00,1220.599,6.205
2023/1/1 10:00,2023/1/1 12:00,1139.83,6.065
2023/1/1 11:00,2023/1/1 13:00,1030.053,5.859
2023/1/1 12:00,2023/1/1 14:00,1064.951,5.926
2023/1/1 13:00,2023/1/1 15:00,1002.879,5.798
2023/1/1 14:00,2023/1/1 16:00,1252.891,6.258
2023/1/1 15:00,2023/1/1 17:00,1450.958,6.595
2023/1/1 16:00,2023/1/1 18:00,1378.283,6.475
2023/1/1 17:00,2023/1/1 19:00,1559.433,6.775
2023/1/1 18:00,2023/1/1 20:00,1683.722,6.965
2023/1/1 19:00,2023/1/1 21:00,1776.853,7.111
2023/1/1 20:00,2023/1/1 22:00,1855.957,7.231
2023/1/1 21:00,2023/1/1 23:00,1920.677,7.324
2023/1/1 22:00,2023/1/2 0:00,1852.599,7.227
2023/1/1 23:00,2023/1/2 1:00,1821.37,7.177
2023/1/2 0:00,2023/1/2 2:00,1703.306,7
2023/1/2 1:00,2023/1/2 3:00,1621.509,6.867
2023/1/2 2:00,2023/1/2 4:00,1460.315,6.613
2023/1/2 3:00,2023/1/2 5:00,1194.278,6.162
2023/1/2 4:00,2023/1/2 6:00,1010.807,5.822
2023/1/2 5:00,2023/1/2 7:00,952.913,5.7
2023/1/2 6:00,2023/1/2 8:00,832.833,5.451
2023/1/2 7:00,2023/1/2 9:00,704.953,5.175
2023/1/2 8:00,2023/1/2 10:00,626.835,4.986
2023/1/2 9:00,2023/1/2 11:00,463.881,4.54
2023/1/2 10:00,2023/1/2 12:00,322.589,4.1
2023/1/2 11:00,2023/1/2 13:00,212.596,3.676
2023/1/2 12:00,2023/1/2 14:00,206.53,3.643
2023/1/2 13:00,2023/1/2 15:00,262.493,3.87
2023/1/2 14:00,2023/1/2 16:00,298.722,4.015
2023/1/2 15:00,2023/1/2 17:00,382.03,4.293
2023/1/2 16:00,2023/1/2 18:00,559.43,4.804
2023/1/2 17:00,2023/1/2 19:00,626.331,4.985
2023/1/2 18:00,2023/1/2 20:00,676.751,5.108
2023/1/2 19:00,2023/1/2 21:00,742.265,5.261
2023/1/2 20:00,2023/1/2 22:00,779.05,5.343
2023/1/2 21:00,2023/1/2 23:00,819.963,5.433
2023/1/2 22:00,2023/1/3 0:00,847.502,5.492
2023/1/2 23:00,2023/1/3 1:00,865.77,5.525
2023/1/3 0:00,2023/1/3 2:00,886.109,5.563
2023/1/3 1:00,2023/1/3 3:00,885.211,5.561
2023/1/3 2:00,2023/1/3 4:00,887.763,5.567
2023/1/3 3:00,2023/1/3 5:00,894.229,5.582
2023/1/3 4:00,2023/1/3 6:00,911.743,5.625
2023/1/3 5:00,2023/1/3 7:00,901.92,5.605
2023/1/3 6:00,2023/1/3 8:00,830.42,5.448
2023/1/3 7:00,2023/1/3 9:00,789.731,5.367
2023/1/3 8:00,2023/1/3 10:00,725.836,5.223
2023/1/3 9:00,2023/1/3 11:00,658.895,5.056
2023/1/3 10:00,2023/1/3 12:00,606.009,4.934
2023/1/3 11:00,2023/1/3 13:00,588.616,4.886
2023/1/3 12:00,2023/1/3 14:00,621.799,4.974
2023/1/3 13:00,2023/1/3 15:00,636.92,5.011
2023/1/3 14:00,2023/1/3 16:00,565.544,4.83
2023/1/3 15:00,2023/1/3 17:00,465.89,4.555
2023/1/3 16:00,2023/1/3 18:00,366.135,4.248
2023/1/3 17:00,2023/1/3 19:00,281.54,3.946
2023/1/3 18:00,2023/1/3 20:00,242.833,3.802
2023/1/3 19:00,2023/1/3 21:00,253.102,3.843
2023/1/3 20:00,2023/1/3 22:00,274.788,3.927
2023/1/3 21:00,2023/1/3 23:00,316.239,4.078
2023/1/3 22:00,2023/1/4 0:00,441.99,4.485
2023/1/3 23:00,2023/1/4 1:00,567.81,4.836
2023/1/4 0:00,2023/1/4 2:00,719.675,5.2
